,r,x,y,p,pno,tno,per,perType,actionType,actionNumber,previousAction,subType,player,shirtNumber,season,team_name
0,0,26.829999923706,40.979999542236,14,14,1,1,REGULAR,2pt,7,,jumpshot,T. Daniels,30,2019,Edmonton Stingers
1,0,19.030000686646,22.049999237061,4,4,1,1,REGULAR,2pt,11,,jumpshot,M. Gueye,3,2019,Edmonton Stingers
2,0,9.0500001907349,20.639999389648,1,1,1,1,REGULAR,2pt,15,,jumpshot,X. Moon,2,2019,Edmonton Stingers
3,0,33.849998474121,76.849998474121,2,2,1,1,REGULAR,3pt,17,,jumpshot,A. Ellis,12,2019,Edmonton Stingers
4,0,5.9299998283386,47.189998626709,2,2,1,1,REGULAR,2pt,21,,layup,A. Ellis,12,2019,Edmonton Stingers
5,0,9.8299999237061,83.919998168945,2,2,1,1,REGULAR,2pt,26,,jumpshot,A. Ellis,12,2019,Edmonton Stingers
6,0,12.319999694824,64.98999786377,4,4,1,1,REGULAR,2pt,32,,jumpshot,M. Gueye,3,2019,Edmonton Stingers
7,0,10.760000228882,15.840000152588,14,14,1,1,REGULAR,2pt,34,,jumpshot,T. Daniels,30,2019,Edmonton Stingers
8,1,6.2399997711182,54.25,4,4,1,1,REGULAR,2pt,36,,layup,M. Gueye,3,2019,Edmonton Stingers
9,1,6.4000000953674,3.6900000572205,2,2,1,1,REGULAR,3pt,39,,jumpshot,A. Ellis,12,2019,Edmonton Stingers
10,0,19.030000686646,49.169998168945,1,1,1,1,REGULAR,2pt,43,,layup,X. Moon,2,2019,Edmonton Stingers
11,0,23.870000839233,15.270000457764,1,1,1,1,REGULAR,3pt,55,,jumpshot,X. Moon,2,2019,Edmonton Stingers
12,0,7.8000001907349,53.689998626709,7,7,1,1,REGULAR,2pt,59,,layup,G. Glaze,22,2019,Edmonton Stingers
13,1,16.370000839233,57.729999542236,3,3,1,1,REGULAR,2pt,96,,jumpshot,K. Otieno,24,2019,Edmonton Stingers
14,1,18.409999847412,33.069999694824,7,7,1,1,REGULAR,2pt,79,,jumpshot,G. Glaze,22,2019,Edmonton Stingers
15,1,25.89999961853,48.319999694824,7,7,1,1,REGULAR,2pt,90,,jumpshot,G. Glaze,22,2019,Edmonton Stingers
16,1,9.5200004577637,44.650001525879,12,12,1,1,REGULAR,2pt,102,,layup,A. Peter-McNeilly,14,2019,Edmonton Stingers
17,0,26.989999771118,76.569999694824,12,12,1,1,REGULAR,3pt,113,,jumpshot,A. Peter-McNeilly,14,2019,Edmonton Stingers
18,0,6.710000038147,51.150001525879,14,14,1,1,REGULAR,2pt,115,,layup,T. Daniels,30,2019,Edmonton Stingers
19,0,30.889999389648,40.700000762939,2,2,1,1,REGULAR,3pt,117,,jumpshot,A. Ellis,12,2019,Edmonton Stingers
20,0,15.289999961853,94.930000305176,3,3,1,1,REGULAR,3pt,119,,jumpshot,K. Otieno,24,2019,Edmonton Stingers
21,1,5.7699999809265,47.189998626709,7,7,1,1,REGULAR,2pt,121,,layup,G. Glaze,22,2019,Edmonton Stingers
22,0,8.5799999237061,4.25,7,7,1,1,REGULAR,3pt,124,,jumpshot,G. Glaze,22,2019,Edmonton Stingers
23,0,30.270000457764,65.550003051758,12,12,1,1,REGULAR,3pt,133,,jumpshot,A. Peter-McNeilly,14,2019,Edmonton Stingers
