player,team,zone,total_points,total_attempts,made_shots,fg_percentage
P. Emilien,Brampton Honey Badgers,left_corner,0,1,0,0.0
A. Hamilton,Brampton Honey Badgers,left_short_corner,2,2,1,0.5
P. Oduro,Brampton Honey Badgers,left_short_corner,2,3,1,0.3333333333333333
M. Walker,Brampton Honey Badgers,left_short_corner,0,2,0,0.0
C. Baker,Brampton Honey Badgers,left_wing_three,3,1,1,1.0
C. John,Brampton Honey Badgers,left_wing_three,3,1,1,1.0
M. Walker,Brampton Honey Badgers,left_wing_three,0,1,0,0.0
S. Stevenson,Brampton Honey Badgers,restricted_area,14,11,7,0.6363636363636364
Z. Waterman,Brampton Honey Badgers,restricted_area,8,6,4,0.6666666666666666
C. Baker,Brampton Honey Badgers,restricted_area,6,5,3,0.6
P. Oduro,Brampton Honey Badgers,right_short_corner,6,3,3,1.0
C. Baker,Brampton Honey Badgers,right_short_corner,2,1,1,1.0
M. Walker,Brampton Honey Badgers,right_short_corner,2,1,1,1.0
C. Baker,Brampton Honey Badgers,right_wing_three,3,2,1,0.5
M. Walker,Brampton Honey Badgers,right_wing_three,0,1,0,0.0
C. John,Brampton Honey Badgers,top_key_midrange,2,3,1,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_midrange,2,1,1,1.0
A. Hamilton,Brampton Honey Badgers,top_key_midrange,0,1,0,0.0
A. Hamilton,Brampton Honey Badgers,top_key_three,3,1,1,1.0
C. Baker,Brampton Honey Badgers,top_key_three,0,1,0,0.0
M. Walker,Brampton Honey Badgers,top_key_three,0,2,0,0.0
