player,team,zone,total_points,total_attempts,made_shots,fg_percentage
I. Osborne,Edmonton Stingers,left_corner,6,5,2,0.4
A. Ellis,Edmonton Stingers,left_corner,3,2,1,0.5
A. Peter-McNeilly,Edmonton Stingers,left_corner,3,6,1,0.16666666666666666
J. Baker,Edmonton Stingers,left_short_corner,6,7,3,0.42857142857142855
A. Peter-McNeilly,Edmonton Stingers,left_short_corner,4,6,2,0.3333333333333333
B. Clarke,Edmonton Stingers,left_short_corner,4,3,2,0.6666666666666666
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,12,8,4,0.5
I. Osborne,Edmonton Stingers,left_wing_three,9,3,3,1.0
M. Kamba,Edmonton Stingers,left_wing_three,9,7,3,0.42857142857142855
B. Clarke,Edmonton Stingers,restricted_area,40,30,20,0.6666666666666666
J. Baker,Edmonton Stingers,restricted_area,36,26,18,0.6923076923076923
M. Kamba,Edmonton Stingers,restricted_area,34,27,17,0.6296296296296297
M. Kamba,Edmonton Stingers,right_corner,9,4,3,0.75
M. Johnson,Edmonton Stingers,right_corner,6,4,2,0.5
A. Peter-McNeilly,Edmonton Stingers,right_corner,3,4,1,0.25
X. Moon,Edmonton Stingers,right_short_corner,8,8,4,0.5
J. Baker,Edmonton Stingers,right_short_corner,4,4,2,0.5
M. Johnson,Edmonton Stingers,right_short_corner,4,4,2,0.5
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,18,15,6,0.4
M. Kamba,Edmonton Stingers,right_wing_three,9,8,3,0.375
B. Clarke,Edmonton Stingers,right_wing_three,6,4,2,0.5
X. Moon,Edmonton Stingers,top_key_midrange,14,11,7,0.6363636363636364
B. Clarke,Edmonton Stingers,top_key_midrange,6,3,3,1.0
J. Baker,Edmonton Stingers,top_key_midrange,6,7,3,0.42857142857142855
X. Moon,Edmonton Stingers,top_key_three,21,11,7,0.6363636363636364
J. Baker,Edmonton Stingers,top_key_three,9,7,3,0.42857142857142855
B. Clarke,Edmonton Stingers,top_key_three,3,4,1,0.25
