player,team,zone,total_points,total_attempts,made_shots,fg_percentage
G. Juozapaitis,Scarborough Shooting Stars,left_corner,15,7,5,0.7142857142857143
A. Best,Scarborough Shooting Stars,left_corner,6,3,2,0.6666666666666666
D. Djurcic,Scarborough Shooting Stars,left_corner,3,1,1,1.0
C. Barber,Scarborough Shooting Stars,left_short_corner,7,7,3,0.42857142857142855
J. Harris,Scarborough Shooting Stars,left_short_corner,6,6,3,0.5
K. Young,Scarborough Shooting Stars,left_short_corner,6,5,3,0.6
K. Robertson,Scarborough Shooting Stars,left_wing_three,21,10,7,0.7
D. Williams,Scarborough Shooting Stars,left_wing_three,6,2,2,1.0
G. Juozapaitis,Scarborough Shooting Stars,left_wing_three,6,3,2,0.6666666666666666
I. Mike,Scarborough Shooting Stars,restricted_area,40,33,20,0.6060606060606061
C. Barber,Scarborough Shooting Stars,restricted_area,34,34,17,0.5
K. Walker,Scarborough Shooting Stars,restricted_area,30,20,15,0.75
I. Mike,Scarborough Shooting Stars,right_corner,9,8,3,0.375
Z. Moore,Scarborough Shooting Stars,right_corner,9,5,3,0.6
A. Best,Scarborough Shooting Stars,right_corner,3,2,1,0.5
K. Young,Scarborough Shooting Stars,right_short_corner,6,4,3,0.75
C. Barber,Scarborough Shooting Stars,right_short_corner,2,4,1,0.25
D. Djurcic,Scarborough Shooting Stars,right_short_corner,2,1,1,1.0
C. Barber,Scarborough Shooting Stars,right_wing_three,18,13,6,0.46153846153846156
D. Djurcic,Scarborough Shooting Stars,right_wing_three,6,2,2,1.0
I. Mike,Scarborough Shooting Stars,right_wing_three,6,8,2,0.25
K. Chatman,Scarborough Shooting Stars,top_key_midrange,8,5,4,0.8
C. Barber,Scarborough Shooting Stars,top_key_midrange,6,12,3,0.25
I. Mike,Scarborough Shooting Stars,top_key_midrange,6,8,3,0.375
K. Robertson,Scarborough Shooting Stars,top_key_three,15,8,5,0.625
I. Mike,Scarborough Shooting Stars,top_key_three,12,6,4,0.6666666666666666
C. Barber,Scarborough Shooting Stars,top_key_three,9,12,3,0.25
