player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Campbell,Vancouver Bandits,left_corner,3,2,1,0.5
J. Manigat,Vancouver Bandits,left_corner,3,1,1,1.0
D. Notice,Vancouver Bandits,left_corner,0,1,0,0.0
M. Creek,Vancouver Bandits,left_short_corner,4,3,2,0.6666666666666666
M. Carr,Vancouver Bandits,left_short_corner,2,2,1,0.5
T. Moore,Vancouver Bandits,left_short_corner,2,2,1,0.5
M. Creek,Vancouver Bandits,left_wing_three,9,3,3,1.0
D. Notice,Vancouver Bandits,left_wing_three,6,4,2,0.5
K. McEwen,Vancouver Bandits,left_wing_three,6,3,2,0.6666666666666666
N. Ward,Vancouver Bandits,restricted_area,34,19,17,0.8947368421052632
M. Creek,Vancouver Bandits,restricted_area,18,17,9,0.5294117647058824
T. Moore,Vancouver Bandits,restricted_area,12,10,6,0.6
A. Campbell,Vancouver Bandits,right_corner,3,1,1,1.0
D. Notice,Vancouver Bandits,right_corner,3,2,1,0.5
J. Manigat,Vancouver Bandits,right_corner,3,2,1,0.5
K. McEwen,Vancouver Bandits,right_short_corner,4,3,2,0.6666666666666666
M. Creek,Vancouver Bandits,right_short_corner,4,4,2,0.5
M. Carr,Vancouver Bandits,right_short_corner,2,3,1,0.3333333333333333
Z. Copeland,Vancouver Bandits,right_wing_three,6,3,2,0.6666666666666666
A. Campbell,Vancouver Bandits,right_wing_three,3,1,1,1.0
K. McEwen,Vancouver Bandits,right_wing_three,3,5,1,0.2
M. Carr,Vancouver Bandits,top_key_midrange,6,5,3,0.6
N. Ward,Vancouver Bandits,top_key_midrange,6,6,3,0.5
K. McEwen,Vancouver Bandits,top_key_midrange,2,2,1,0.5
A. Campbell,Vancouver Bandits,top_key_three,3,3,1,0.3333333333333333
J. Manigat,Vancouver Bandits,top_key_three,3,1,1,1.0
K. McEwen,Vancouver Bandits,top_key_three,3,3,1,0.3333333333333333
