player,team,zone,total_points,total_attempts,made_shots,fg_percentage
P. Emilien,Brampton Honey Badgers,left_corner,0,1,0,0.0
A. Hamilton,Brampton Honey Badgers,left_short_corner,2,2,1,0.5
P. Oduro,Brampton Honey Badgers,left_short_corner,2,3,1,0.3333333333333333
M. Walker,Brampton Honey Badgers,left_short_corner,0,2,0,0.0
C. Baker,Brampton Honey Badgers,left_wing_three,3,1,1,1.0
C. John,Brampton Honey Badgers,left_wing_three,3,1,1,1.0
M. Walker,Brampton Honey Badgers,left_wing_three,0,1,0,0.0
S. Stevenson,Brampton Honey Badgers,restricted_area,14,11,7,0.6363636363636364
Z. Waterman,Brampton Honey Badgers,restricted_area,8,6,4,0.6666666666666666
C. Baker,Brampton Honey Badgers,restricted_area,6,5,3,0.6
P. Oduro,Brampton Honey Badgers,right_short_corner,6,3,3,1.0
C. Baker,Brampton Honey Badgers,right_short_corner,2,1,1,1.0
M. Walker,Brampton Honey Badgers,right_short_corner,2,1,1,1.0
C. Baker,Brampton Honey Badgers,right_wing_three,3,2,1,0.5
M. Walker,Brampton Honey Badgers,right_wing_three,0,1,0,0.0
C. John,Brampton Honey Badgers,top_key_midrange,2,3,1,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_midrange,2,1,1,1.0
A. Hamilton,Brampton Honey Badgers,top_key_midrange,0,1,0,0.0
A. Hamilton,Brampton Honey Badgers,top_key_three,3,1,1,1.0
C. Baker,Brampton Honey Badgers,top_key_three,0,1,0,0.0
M. Walker,Brampton Honey Badgers,top_key_three,0,2,0,0.0
A. Gilder Jr.,Calgary Surge,left_corner,6,3,2,0.6666666666666666
C. Davis Jr.,Calgary Surge,left_corner,6,2,2,1.0
T. Henderson Jr.,Calgary Surge,left_corner,6,5,2,0.4
C. Davis Jr.,Calgary Surge,left_short_corner,4,2,2,1.0
M. Kamba,Calgary Surge,left_short_corner,2,2,1,0.5
J. Tshimanga,Calgary Surge,left_short_corner,0,1,0,0.0
C. Davis Jr.,Calgary Surge,left_wing_three,6,5,2,0.4
M. Bourcier,Calgary Surge,left_wing_three,6,5,2,0.4
M. Kamba,Calgary Surge,left_wing_three,6,5,2,0.4
S. Miller-Moore,Calgary Surge,restricted_area,34,34,17,0.5
J. Tshimanga,Calgary Surge,restricted_area,30,32,15,0.46875
S. Smith,Calgary Surge,restricted_area,28,22,14,0.6363636363636364
T. Mitchell,Calgary Surge,right_corner,6,4,2,0.5
C. Davis Jr.,Calgary Surge,right_corner,3,3,1,0.3333333333333333
S. Miller-Moore,Calgary Surge,right_corner,3,4,1,0.25
S. Miller-Moore,Calgary Surge,right_short_corner,8,9,4,0.4444444444444444
J. Tshimanga,Calgary Surge,right_short_corner,6,4,3,0.75
T. Mitchell,Calgary Surge,right_short_corner,3,2,1,0.5
C. Davis Jr.,Calgary Surge,right_wing_three,21,15,7,0.4666666666666667
S. Miller-Moore,Calgary Surge,right_wing_three,6,4,2,0.5
M. Bourcier,Calgary Surge,right_wing_three,3,2,1,0.5
S. Miller-Moore,Calgary Surge,top_key_midrange,12,17,6,0.35294117647058826
C. Davis Jr.,Calgary Surge,top_key_midrange,8,12,4,0.3333333333333333
M. Duvivier,Calgary Surge,top_key_midrange,2,2,1,0.5
S. Smith,Calgary Surge,top_key_three,9,5,3,0.6
C. Davis Jr.,Calgary Surge,top_key_three,6,6,2,0.3333333333333333
M. Bourcier,Calgary Surge,top_key_three,6,9,2,0.2222222222222222
I. Osborne,Edmonton Stingers,left_corner,6,5,2,0.4
A. Ellis,Edmonton Stingers,left_corner,3,2,1,0.5
A. Peter-McNeilly,Edmonton Stingers,left_corner,3,6,1,0.16666666666666666
J. Baker,Edmonton Stingers,left_short_corner,6,7,3,0.42857142857142855
A. Peter-McNeilly,Edmonton Stingers,left_short_corner,4,6,2,0.3333333333333333
B. Clarke,Edmonton Stingers,left_short_corner,4,3,2,0.6666666666666666
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,12,8,4,0.5
I. Osborne,Edmonton Stingers,left_wing_three,9,3,3,1.0
M. Kamba,Edmonton Stingers,left_wing_three,9,7,3,0.42857142857142855
B. Clarke,Edmonton Stingers,restricted_area,40,30,20,0.6666666666666666
J. Baker,Edmonton Stingers,restricted_area,36,26,18,0.6923076923076923
M. Kamba,Edmonton Stingers,restricted_area,34,27,17,0.6296296296296297
M. Kamba,Edmonton Stingers,right_corner,9,4,3,0.75
M. Johnson,Edmonton Stingers,right_corner,6,4,2,0.5
A. Peter-McNeilly,Edmonton Stingers,right_corner,3,4,1,0.25
X. Moon,Edmonton Stingers,right_short_corner,8,8,4,0.5
J. Baker,Edmonton Stingers,right_short_corner,4,4,2,0.5
M. Johnson,Edmonton Stingers,right_short_corner,4,4,2,0.5
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,18,15,6,0.4
M. Kamba,Edmonton Stingers,right_wing_three,9,8,3,0.375
B. Clarke,Edmonton Stingers,right_wing_three,6,4,2,0.5
X. Moon,Edmonton Stingers,top_key_midrange,14,11,7,0.6363636363636364
B. Clarke,Edmonton Stingers,top_key_midrange,6,3,3,1.0
J. Baker,Edmonton Stingers,top_key_midrange,6,7,3,0.42857142857142855
X. Moon,Edmonton Stingers,top_key_three,21,11,7,0.6363636363636364
J. Baker,Edmonton Stingers,top_key_three,9,7,3,0.42857142857142855
B. Clarke,Edmonton Stingers,top_key_three,3,4,1,0.25
A. Campbell,Fraser Valley Bandits,left_corner,9,4,3,0.75
