zone,player,team,total_points
left_corner,G. Juozapaitis,Scarborough Shooting Stars,15
left_corner,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",12
left_corner,A. Best,"Hamilton Honey Badgers, Scarborough Shooting Stars",9
left_short_corner,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",11
left_short_corner,K. Robertson,"Niagara River Lions, Scarborough Shooting Stars",8
left_short_corner,J. Baker,Edmonton Stingers,6
left_wing_three,K. Robertson,"Niagara River Lions, Scarborough Shooting Stars",24
left_wing_three,M. Duvivier,"Calgary Surge, Fraser Valley Bandits",18
left_wing_three,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",15
restricted_area,J. Tshimanga,"Calgary Surge, Saskatchewan Rattlers",58
restricted_area,S. Miller-Moore,"Calgary Surge, Guelph Nighthawks",52
restricted_area,N. Ward,"Ottawa BlackJacks, Vancouver Bandits",48
right_corner,I. Mike,Scarborough Shooting Stars,9
right_corner,M. Johnson,"Edmonton Stingers, Saskatchewan Rattlers",9
right_corner,M. Kamba,"Calgary Surge, Edmonton Stingers",9
right_short_corner,D. Bandoo,"Montreal Alliance, Saskatchewan Rattlers",15
right_short_corner,M. Duvivier,"Calgary Surge, Fraser Valley Bandits",10
right_short_corner,B. Gilbeck,Fraser Valley Bandits,8
right_wing_three,A. Hill,"Guelph Nighthawks, Montreal Alliance",24
right_wing_three,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",24
right_wing_three,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",21
top_key_midrange,X. Moon,Edmonton Stingers,14
top_key_midrange,S. Miller-Moore,"Calgary Surge, Guelph Nighthawks",12
top_key_midrange,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",10
top_key_three,K. Ahmad,Niagara River Lions,21
top_key_three,X. Moon,Edmonton Stingers,21
top_key_three,E. Onu,Niagara River Lions,18
