player,team,zone,total_points,total_attempts,made_shots,fg_percentage
C. John,Brampton Honey Badgers,left_corner,24,17,8,0.47058823529411764
Z. Waterman,Brampton Honey Badgers,left_corner,18,13,6,0.46153846153846156
D. Walker,Brampton Honey Badgers,left_corner,12,6,4,0.6666666666666666
P. Oduro,Brampton Honey Badgers,left_short_corner,14,23,7,0.30434782608695654
C. John,Brampton Honey Badgers,left_short_corner,12,15,6,0.4
S. Stevenson,Brampton Honey Badgers,left_short_corner,12,25,6,0.24
Z. Waterman,Brampton Honey Badgers,left_wing_three,69,64,23,0.359375
C. Vital,Brampton Honey Badgers,left_wing_three,36,36,12,0.3333333333333333
K. McEwen,Brampton Honey Badgers,left_wing_three,36,37,12,0.32432432432432434
Z. Waterman,Brampton Honey Badgers,restricted_area,188,165,94,0.5696969696969697
S. Stevenson,Brampton Honey Badgers,restricted_area,160,139,80,0.5755395683453237
P. Oduro,Brampton Honey Badgers,restricted_area,158,142,79,0.5563380281690141
J. Cooke,Brampton Honey Badgers,right_corner,18,12,6,0.5
C. John,Brampton Honey Badgers,right_corner,15,12,5,0.4166666666666667
C. Vital,Brampton Honey Badgers,right_corner,15,14,5,0.35714285714285715
P. Oduro,Brampton Honey Badgers,right_short_corner,30,28,15,0.5357142857142857
K. McEwen,Brampton Honey Badgers,right_short_corner,16,16,8,0.5
S. Stevenson,Brampton Honey Badgers,right_short_corner,14,25,7,0.28
C. Vital,Brampton Honey Badgers,right_wing_three,81,60,27,0.45
Z. Waterman,Brampton Honey Badgers,right_wing_three,57,55,19,0.34545454545454546
S. Stevenson,Brampton Honey Badgers,right_wing_three,39,31,13,0.41935483870967744
C. Vital,Brampton Honey Badgers,top_key_midrange,20,22,10,0.45454545454545453
S. Stevenson,Brampton Honey Badgers,top_key_midrange,20,28,10,0.35714285714285715
C. John,Brampton Honey Badgers,top_key_midrange,18,19,9,0.47368421052631576
C. Vital,Brampton Honey Badgers,top_key_three,30,30,10,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_three,27,25,9,0.36
K. McEwen,Brampton Honey Badgers,top_key_three,15,22,5,0.22727272727272727
