player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Peter-McNeilly,Edmonton Stingers,left_corner,66,62,22,0.3548387096774194
X. Moon,Edmonton Stingers,left_corner,39,16,13,0.8125
M. Kamba,Edmonton Stingers,left_corner,36,40,12,0.3
X. Moon,Edmonton Stingers,left_short_corner,46,50,23,0.46
B. Clarke,Edmonton Stingers,left_short_corner,36,37,18,0.4864864864864865
B. Krikke,Edmonton Stingers,left_short_corner,32,27,16,0.5925925925925926
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,111,120,37,0.30833333333333335
E. Miller,Edmonton Stingers,left_wing_three,60,41,20,0.4878048780487805
M. Kamba,Edmonton Stingers,left_wing_three,60,50,20,0.4
B. Clarke,Edmonton Stingers,restricted_area,460,359,230,0.6406685236768802
J. Baker,Edmonton Stingers,restricted_area,422,325,211,0.6492307692307693
N. Hornsby,Edmonton Stingers,restricted_area,210,171,105,0.6140350877192983
M. Kamba,Edmonton Stingers,right_corner,60,34,20,0.5882352941176471
A. Peter-McNeilly,Edmonton Stingers,right_corner,33,28,11,0.39285714285714285
A. Uguak,Edmonton Stingers,right_corner,27,18,9,0.5
X. Moon,Edmonton Stingers,right_short_corner,66,73,33,0.4520547945205479
B. Clarke,Edmonton Stingers,right_short_corner,40,54,20,0.37037037037037035
N. Hornsby,Edmonton Stingers,right_short_corner,38,46,19,0.41304347826086957
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,120,126,40,0.31746031746031744
X. Moon,Edmonton Stingers,right_wing_three,75,55,25,0.45454545454545453
M. Kamba,Edmonton Stingers,right_wing_three,69,80,23,0.2875
X. Moon,Edmonton Stingers,top_key_midrange,98,85,49,0.5764705882352941
B. Clarke,Edmonton Stingers,top_key_midrange,67,76,33,0.4342105263157895
M. Johnson,Edmonton Stingers,top_key_midrange,56,67,28,0.417910447761194
X. Moon,Edmonton Stingers,top_key_three,87,53,29,0.5471698113207547
A. Peter-McNeilly,Edmonton Stingers,top_key_three,78,77,26,0.33766233766233766
B. Clarke,Edmonton Stingers,top_key_three,57,56,19,0.3392857142857143
