player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Campbell,Fraser Valley Bandits,left_corner,36,31,12,0.3870967741935484
M. Klassen,Fraser Valley Bandits,left_corner,18,14,6,0.42857142857142855
J. Friesen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
S. Gibson,Fraser Valley Bandits,left_short_corner,21,21,10,0.47619047619047616
L. Kendall,Fraser Valley Bandits,left_short_corner,18,25,9,0.36
T. Tate,Fraser Valley Bandits,left_short_corner,14,19,7,0.3684210526315789
A. Campbell,Fraser Valley Bandits,left_wing_three,99,70,33,0.4714285714285714
M. Duvivier,Fraser Valley Bandits,left_wing_three,87,57,29,0.5087719298245614
M. Klassen,Fraser Valley Bandits,left_wing_three,63,71,21,0.29577464788732394
B. Gilbeck,Fraser Valley Bandits,restricted_area,146,111,73,0.6576576576576577
T. Kennedy,Fraser Valley Bandits,restricted_area,120,83,60,0.7228915662650602
M. Duvivier,Fraser Valley Bandits,restricted_area,108,116,54,0.46551724137931033
A. Campbell,Fraser Valley Bandits,right_corner,30,25,10,0.4
M. Duvivier,Fraser Valley Bandits,right_corner,27,20,9,0.45
T. Tate,Fraser Valley Bandits,right_corner,27,16,9,0.5625
L. Kendall,Fraser Valley Bandits,right_short_corner,28,30,14,0.4666666666666667
S. Gibson,Fraser Valley Bandits,right_short_corner,26,31,13,0.41935483870967744
T. Tate,Fraser Valley Bandits,right_short_corner,22,27,11,0.4074074074074074
A. Campbell,Fraser Valley Bandits,right_wing_three,90,76,30,0.39473684210526316
M. Klassen,Fraser Valley Bandits,right_wing_three,78,83,26,0.3132530120481928
S. Gibson,Fraser Valley Bandits,right_wing_three,72,54,24,0.4444444444444444
M. Klassen,Fraser Valley Bandits,top_key_midrange,31,35,15,0.42857142857142855
S. Gibson,Fraser Valley Bandits,top_key_midrange,28,28,14,0.5
T. Tate,Fraser Valley Bandits,top_key_midrange,28,41,14,0.34146341463414637
M. Klassen,Fraser Valley Bandits,top_key_three,72,46,24,0.5217391304347826
A. Campbell,Fraser Valley Bandits,top_key_three,48,39,16,0.41025641025641024
M. Duvivier,Fraser Valley Bandits,top_key_three,42,37,14,0.3783783783783784
