player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Hill,Guelph Nighthawks,left_corner,51,36,17,0.4722222222222222
O. Famutimi,Guelph Nighthawks,left_corner,51,28,17,0.6071428571428571
T. Lall,Guelph Nighthawks,left_corner,27,13,9,0.6923076923076923
C. Barber,Guelph Nighthawks,left_short_corner,35,51,17,0.3333333333333333
O. Famutimi,Guelph Nighthawks,left_short_corner,18,25,9,0.36
A. Hill,Guelph Nighthawks,left_short_corner,14,34,7,0.20588235294117646
A. Hill,Guelph Nighthawks,left_wing_three,63,48,21,0.4375
O. Famutimi,Guelph Nighthawks,left_wing_three,57,45,19,0.4222222222222222
C. Barber,Guelph Nighthawks,left_wing_three,36,42,12,0.2857142857142857
C. Barber,Guelph Nighthawks,restricted_area,214,178,107,0.601123595505618
A. Hill,Guelph Nighthawks,restricted_area,176,152,88,0.5789473684210527
S. Miller-Moore,Guelph Nighthawks,restricted_area,128,86,64,0.7441860465116279
A. Hill,Guelph Nighthawks,right_corner,54,40,18,0.45
O. Famutimi,Guelph Nighthawks,right_corner,24,23,8,0.34782608695652173
A. Lawson,Guelph Nighthawks,right_corner,15,12,5,0.4166666666666667
C. Barber,Guelph Nighthawks,right_short_corner,38,50,19,0.38
O. Famutimi,Guelph Nighthawks,right_short_corner,32,27,16,0.5925925925925926
A. Hill,Guelph Nighthawks,right_short_corner,18,32,9,0.28125
A. Hill,Guelph Nighthawks,right_wing_three,93,82,31,0.3780487804878049
C. Barber,Guelph Nighthawks,right_wing_three,54,49,18,0.3673469387755102
O. Famutimi,Guelph Nighthawks,right_wing_three,51,40,17,0.425
C. Barber,Guelph Nighthawks,top_key_midrange,58,55,29,0.5272727272727272
A. Hill,Guelph Nighthawks,top_key_midrange,22,31,11,0.3548387096774194
O. Famutimi,Guelph Nighthawks,top_key_midrange,20,23,10,0.43478260869565216
A. Hill,Guelph Nighthawks,top_key_three,33,29,11,0.3793103448275862
M. Charvis,Guelph Nighthawks,top_key_three,24,18,8,0.4444444444444444
A. Hess,Guelph Nighthawks,top_key_three,21,10,7,0.7
