player,team,zone,total_points,total_attempts,made_shots,fg_percentage
D. Bandoo,Saskatchewan Rattlers,left_corner,51,29,17,0.5862068965517241
C. John,Saskatchewan Rattlers,left_corner,36,16,12,0.75
N. Webster-Chan,Saskatchewan Rattlers,left_corner,36,33,12,0.36363636363636365
D. Bandoo,Saskatchewan Rattlers,left_short_corner,27,44,13,0.29545454545454547
J. Wright-Foreman,Saskatchewan Rattlers,left_short_corner,23,26,11,0.4230769230769231
J. Harris,Saskatchewan Rattlers,left_short_corner,16,20,8,0.4
D. Bandoo,Saskatchewan Rattlers,left_wing_three,90,77,30,0.38961038961038963
J. Wright-Foreman,Saskatchewan Rattlers,left_wing_three,63,49,21,0.42857142857142855
M. Benlevi,Saskatchewan Rattlers,left_wing_three,60,52,20,0.38461538461538464
J. Tshimanga,Saskatchewan Rattlers,restricted_area,140,101,70,0.693069306930693
T. Dawson,Saskatchewan Rattlers,restricted_area,136,111,68,0.6126126126126126
A. Tsegakele,Saskatchewan Rattlers,restricted_area,126,115,63,0.5478260869565217
D. Bandoo,Saskatchewan Rattlers,right_corner,30,20,10,0.5
N. Webster-Chan,Saskatchewan Rattlers,right_corner,27,22,9,0.4090909090909091
A. Campbell,Saskatchewan Rattlers,right_corner,24,13,8,0.6153846153846154
D. Bandoo,Saskatchewan Rattlers,right_short_corner,43,53,21,0.39622641509433965
J. Wright-Foreman,Saskatchewan Rattlers,right_short_corner,28,34,14,0.4117647058823529
B. Massey,Saskatchewan Rattlers,right_short_corner,20,18,10,0.5555555555555556
D. Bandoo,Saskatchewan Rattlers,right_wing_three,102,77,34,0.44155844155844154
J. Wright-Foreman,Saskatchewan Rattlers,right_wing_three,63,45,21,0.4666666666666667
S. Lindsey,Saskatchewan Rattlers,right_wing_three,63,67,21,0.31343283582089554
T. Carr,Saskatchewan Rattlers,top_key_midrange,34,36,17,0.4722222222222222
J. Wright-Foreman,Saskatchewan Rattlers,top_key_midrange,32,34,16,0.47058823529411764
B. Massey,Saskatchewan Rattlers,top_key_midrange,26,30,13,0.43333333333333335
J. Wright-Foreman,Saskatchewan Rattlers,top_key_three,63,48,21,0.4375
D. Bandoo,Saskatchewan Rattlers,top_key_three,42,39,14,0.358974358974359
A. Campbell,Saskatchewan Rattlers,top_key_three,30,32,10,0.3125
