player,team,zone,total_points,total_attempts,made_shots,fg_percentage
I. Mike,Scarborough Shooting Stars,left_corner,42,23,14,0.6086956521739131
J. Campbell,Scarborough Shooting Stars,left_corner,30,17,10,0.5882352941176471
K. Chatman,Scarborough Shooting Stars,left_corner,30,19,10,0.5263157894736842
K. Chatman,Scarborough Shooting Stars,left_short_corner,32,46,16,0.34782608695652173
C. Barber,Scarborough Shooting Stars,left_short_corner,27,43,13,0.3023255813953488
K. Young,Scarborough Shooting Stars,left_short_corner,18,22,9,0.4090909090909091
C. Barber,Scarborough Shooting Stars,left_wing_three,78,73,26,0.3561643835616438
I. Mike,Scarborough Shooting Stars,left_wing_three,54,47,18,0.3829787234042553
K. Robertson,Scarborough Shooting Stars,left_wing_three,54,35,18,0.5142857142857142
K. Young,Scarborough Shooting Stars,restricted_area,288,222,144,0.6486486486486487
C. Barber,Scarborough Shooting Stars,restricted_area,234,203,117,0.5763546798029556
I. Mike,Scarborough Shooting Stars,restricted_area,160,131,80,0.6106870229007634
I. Mike,Scarborough Shooting Stars,right_corner,36,25,12,0.48
K. Chatman,Scarborough Shooting Stars,right_corner,24,28,8,0.2857142857142857
C. Barber,Scarborough Shooting Stars,right_corner,21,17,7,0.4117647058823529
K. Chatman,Scarborough Shooting Stars,right_short_corner,36,48,18,0.375
C. Barber,Scarborough Shooting Stars,right_short_corner,34,40,17,0.425
J. Harris,Scarborough Shooting Stars,right_short_corner,34,47,17,0.3617021276595745
C. Barber,Scarborough Shooting Stars,right_wing_three,87,73,29,0.3972602739726027
J. Harris,Scarborough Shooting Stars,right_wing_three,48,51,16,0.3137254901960784
K. Chatman,Scarborough Shooting Stars,right_wing_three,42,45,14,0.3111111111111111
C. Barber,Scarborough Shooting Stars,top_key_midrange,52,74,26,0.35135135135135137
K. Chatman,Scarborough Shooting Stars,top_key_midrange,38,39,19,0.48717948717948717
J. Harris,Scarborough Shooting Stars,top_key_midrange,34,52,17,0.3269230769230769
C. Barber,Scarborough Shooting Stars,top_key_three,60,56,20,0.35714285714285715
K. Robertson,Scarborough Shooting Stars,top_key_three,51,35,17,0.4857142857142857
I. Mike,Scarborough Shooting Stars,top_key_three,33,24,11,0.4583333333333333
