player,team,zone,total_points,total_attempts,made_shots,fg_percentage
D. Notice,Vancouver Bandits,left_corner,36,33,12,0.36363636363636365
K. McEwen,Vancouver Bandits,left_corner,24,17,8,0.47058823529411764
A. Campbell,Vancouver Bandits,left_corner,18,13,6,0.46153846153846156
K. McEwen,Vancouver Bandits,left_short_corner,22,19,10,0.5263157894736842
T. Moore,Vancouver Bandits,left_short_corner,17,16,8,0.5
N. Ward,Vancouver Bandits,left_short_corner,11,14,5,0.35714285714285715
Z. Copeland,Vancouver Bandits,left_wing_three,69,61,23,0.3770491803278688
K. McEwen,Vancouver Bandits,left_wing_three,48,30,16,0.5333333333333333
T. Moore,Vancouver Bandits,left_wing_three,39,39,13,0.3333333333333333
N. Ward,Vancouver Bandits,restricted_area,478,355,239,0.6732394366197183
T. Moore,Vancouver Bandits,restricted_area,138,104,69,0.6634615384615384
G. Bezhanishvili,Vancouver Bandits,restricted_area,94,93,47,0.5053763440860215
K. McEwen,Vancouver Bandits,right_corner,21,18,7,0.3888888888888889
Z. Copeland,Vancouver Bandits,right_corner,12,11,4,0.36363636363636365
A. Campbell,Vancouver Bandits,right_corner,9,13,3,0.23076923076923078
K. McEwen,Vancouver Bandits,right_short_corner,22,28,11,0.39285714285714285
M. Creek,Vancouver Bandits,right_short_corner,20,21,10,0.47619047619047616
N. Ward,Vancouver Bandits,right_short_corner,18,29,9,0.3103448275862069
Z. Copeland,Vancouver Bandits,right_wing_three,84,72,28,0.3888888888888889
K. McEwen,Vancouver Bandits,right_wing_three,60,53,20,0.37735849056603776
D. Notice,Vancouver Bandits,right_wing_three,57,40,19,0.475
N. Ward,Vancouver Bandits,top_key_midrange,30,42,15,0.35714285714285715
Z. Copeland,Vancouver Bandits,top_key_midrange,16,20,8,0.4
M. Creek,Vancouver Bandits,top_key_midrange,14,17,7,0.4117647058823529
Z. Copeland,Vancouver Bandits,top_key_three,33,42,11,0.2619047619047619
D. Maffia,Vancouver Bandits,top_key_three,24,19,8,0.42105263157894735
J. Manigat,Vancouver Bandits,top_key_three,24,19,8,0.42105263157894735
