player,team,zone,total_points,total_attempts,made_shots,fg_percentage
S. Hildebrandt,Winnipeg Sea Bears,left_corner,30,24,10,0.4166666666666667
A. Campbell,Winnipeg Sea Bears,left_corner,15,17,5,0.29411764705882354
T. Allen,Winnipeg Sea Bears,left_corner,15,14,5,0.35714285714285715
T. Allen,Winnipeg Sea Bears,left_short_corner,26,49,13,0.2653061224489796
J. Ogungbemi-Jackson,Winnipeg Sea Bears,left_short_corner,19,15,9,0.6
E. Anosike,Winnipeg Sea Bears,left_short_corner,12,18,6,0.3333333333333333
T. Allen,Winnipeg Sea Bears,left_wing_three,87,88,29,0.32954545454545453
J. Watson-Gayle,Winnipeg Sea Bears,left_wing_three,56,34,19,0.5588235294117647
S. Hildebrandt,Winnipeg Sea Bears,left_wing_three,45,44,15,0.3409090909090909
T. Allen,Winnipeg Sea Bears,restricted_area,280,227,140,0.6167400881057269
C. Posthumus,Winnipeg Sea Bears,restricted_area,182,155,91,0.5870967741935483
E. Anosike,Winnipeg Sea Bears,restricted_area,162,137,81,0.5912408759124088
A. Campbell,Winnipeg Sea Bears,right_corner,18,12,6,0.5
A. Hess,Winnipeg Sea Bears,right_corner,12,15,4,0.26666666666666666
S. Lindsey,Winnipeg Sea Bears,right_corner,12,9,4,0.4444444444444444
J. Wright-Foreman,Winnipeg Sea Bears,right_short_corner,32,36,16,0.4444444444444444
T. Allen,Winnipeg Sea Bears,right_short_corner,32,52,16,0.3076923076923077
J. Ogungbemi-Jackson,Winnipeg Sea Bears,right_short_corner,24,25,12,0.48
T. Allen,Winnipeg Sea Bears,right_wing_three,108,103,36,0.34951456310679613
S. Hildebrandt,Winnipeg Sea Bears,right_wing_three,57,58,19,0.3275862068965517
J. Wright-Foreman,Winnipeg Sea Bears,right_wing_three,51,45,17,0.37777777777777777
J. Wright-Foreman,Winnipeg Sea Bears,top_key_midrange,30,41,15,0.36585365853658536
E. Anosike,Winnipeg Sea Bears,top_key_midrange,22,31,11,0.3548387096774194
T. Allen,Winnipeg Sea Bears,top_key_midrange,22,37,11,0.2972972972972973
T. Allen,Winnipeg Sea Bears,top_key_three,75,56,25,0.44642857142857145
J. Wright-Foreman,Winnipeg Sea Bears,top_key_three,60,38,20,0.5263157894736842
J. Watson-Gayle,Winnipeg Sea Bears,top_key_three,42,29,14,0.4827586206896552
