player,team,zone,total_points,total_attempts,made_shots,fg_percentage
C. John,Brampton Honey Badgers,left_corner,24,17,8,0.47058823529411764
Z. Waterman,Brampton Honey Badgers,left_corner,18,13,6,0.46153846153846156
D. Walker,Brampton Honey Badgers,left_corner,12,6,4,0.6666666666666666
P. Oduro,Brampton Honey Badgers,left_short_corner,14,23,7,0.30434782608695654
C. John,Brampton Honey Badgers,left_short_corner,12,15,6,0.4
S. Stevenson,Brampton Honey Badgers,left_short_corner,12,25,6,0.24
Z. Waterman,Brampton Honey Badgers,left_wing_three,69,64,23,0.359375
C. Vital,Brampton Honey Badgers,left_wing_three,36,36,12,0.3333333333333333
K. McEwen,Brampton Honey Badgers,left_wing_three,36,37,12,0.32432432432432434
Z. Waterman,Brampton Honey Badgers,restricted_area,188,165,94,0.5696969696969697
S. Stevenson,Brampton Honey Badgers,restricted_area,160,139,80,0.5755395683453237
P. Oduro,Brampton Honey Badgers,restricted_area,158,142,79,0.5563380281690141
J. Cooke,Brampton Honey Badgers,right_corner,18,12,6,0.5
C. John,Brampton Honey Badgers,right_corner,15,12,5,0.4166666666666667
C. Vital,Brampton Honey Badgers,right_corner,15,14,5,0.35714285714285715
P. Oduro,Brampton Honey Badgers,right_short_corner,30,28,15,0.5357142857142857
K. McEwen,Brampton Honey Badgers,right_short_corner,16,16,8,0.5
S. Stevenson,Brampton Honey Badgers,right_short_corner,14,25,7,0.28
C. Vital,Brampton Honey Badgers,right_wing_three,81,60,27,0.45
Z. Waterman,Brampton Honey Badgers,right_wing_three,57,55,19,0.34545454545454546
S. Stevenson,Brampton Honey Badgers,right_wing_three,39,31,13,0.41935483870967744
C. Vital,Brampton Honey Badgers,top_key_midrange,20,22,10,0.45454545454545453
S. Stevenson,Brampton Honey Badgers,top_key_midrange,20,28,10,0.35714285714285715
C. John,Brampton Honey Badgers,top_key_midrange,18,19,9,0.47368421052631576
C. Vital,Brampton Honey Badgers,top_key_three,30,30,10,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_three,27,25,9,0.36
K. McEwen,Brampton Honey Badgers,top_key_three,15,22,5,0.22727272727272727
S. Miller-Moore,Calgary Surge,left_corner,30,39,10,0.2564102564102564
J. Lewis,Calgary Surge,left_corner,21,11,7,0.6363636363636364
M. Duvivier,Calgary Surge,left_corner,18,11,6,0.5454545454545454
S. Miller-Moore,Calgary Surge,left_short_corner,32,61,16,0.26229508196721313
C. Davis Jr.,Calgary Surge,left_short_corner,13,14,6,0.42857142857142855
A. Gilder Jr.,Calgary Surge,left_short_corner,9,9,4,0.4444444444444444
S. Smith,Calgary Surge,left_wing_three,51,57,17,0.2982456140350877
C. Davis Jr.,Calgary Surge,left_wing_three,42,38,14,0.3684210526315789
M. Kamba,Calgary Surge,left_wing_three,39,24,13,0.5416666666666666
S. Miller-Moore,Calgary Surge,restricted_area,366,308,183,0.5941558441558441
S. Smith,Calgary Surge,restricted_area,178,147,89,0.6054421768707483
S. Shittu,Calgary Surge,restricted_area,166,144,83,0.5763888888888888
C. Davis Jr.,Calgary Surge,right_corner,24,19,8,0.42105263157894735
T. Mitchell,Calgary Surge,right_corner,24,15,8,0.5333333333333333
A. Gilder Jr.,Calgary Surge,right_corner,21,14,7,0.5
S. Miller-Moore,Calgary Surge,right_short_corner,52,74,26,0.35135135135135137
C. Davis Jr.,Calgary Surge,right_short_corner,26,30,13,0.43333333333333335
S. Shittu,Calgary Surge,right_short_corner,14,18,7,0.3888888888888889
C. Davis Jr.,Calgary Surge,right_wing_three,69,57,23,0.40350877192982454
M. Kamba,Calgary Surge,right_wing_three,51,38,17,0.4473684210526316
S. Smith,Calgary Surge,right_wing_three,48,49,16,0.32653061224489793
S. Miller-Moore,Calgary Surge,top_key_midrange,64,78,32,0.41025641025641024
C. Davis Jr.,Calgary Surge,top_key_midrange,34,46,17,0.3695652173913043
S. Shittu,Calgary Surge,top_key_midrange,16,25,8,0.32
S. Smith,Calgary Surge,top_key_three,72,59,24,0.4067796610169492
C. Davis Jr.,Calgary Surge,top_key_three,39,31,13,0.41935483870967744
M. Duvivier,Calgary Surge,top_key_three,30,24,10,0.4166666666666667
A. Peter-McNeilly,Edmonton Stingers,left_corner,66,62,22,0.3548387096774194
X. Moon,Edmonton Stingers,left_corner,39,16,13,0.8125
M. Kamba,Edmonton Stingers,left_corner,36,40,12,0.3
X. Moon,Edmonton Stingers,left_short_corner,46,50,23,0.46
B. Clarke,Edmonton Stingers,left_short_corner,36,37,18,0.4864864864864865
B. Krikke,Edmonton Stingers,left_short_corner,32,27,16,0.5925925925925926
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,111,120,37,0.30833333333333335
E. Miller,Edmonton Stingers,left_wing_three,60,41,20,0.4878048780487805
M. Kamba,Edmonton Stingers,left_wing_three,60,50,20,0.4
B. Clarke,Edmonton Stingers,restricted_area,460,359,230,0.6406685236768802
J. Baker,Edmonton Stingers,restricted_area,422,325,211,0.6492307692307693
N. Hornsby,Edmonton Stingers,restricted_area,210,171,105,0.6140350877192983
M. Kamba,Edmonton Stingers,right_corner,60,34,20,0.5882352941176471
A. Peter-McNeilly,Edmonton Stingers,right_corner,33,28,11,0.39285714285714285
A. Uguak,Edmonton Stingers,right_corner,27,18,9,0.5
X. Moon,Edmonton Stingers,right_short_corner,66,73,33,0.4520547945205479
B. Clarke,Edmonton Stingers,right_short_corner,40,54,20,0.37037037037037035
N. Hornsby,Edmonton Stingers,right_short_corner,38,46,19,0.41304347826086957
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,120,126,40,0.31746031746031744
X. Moon,Edmonton Stingers,right_wing_three,75,55,25,0.45454545454545453
M. Kamba,Edmonton Stingers,right_wing_three,69,80,23,0.2875
X. Moon,Edmonton Stingers,top_key_midrange,98,85,49,0.5764705882352941
B. Clarke,Edmonton Stingers,top_key_midrange,67,76,33,0.4342105263157895
M. Johnson,Edmonton Stingers,top_key_midrange,56,67,28,0.417910447761194
X. Moon,Edmonton Stingers,top_key_three,87,53,29,0.5471698113207547
A. Peter-McNeilly,Edmonton Stingers,top_key_three,78,77,26,0.33766233766233766
B. Clarke,Edmonton Stingers,top_key_three,57,56,19,0.3392857142857143
A. Campbell,Fraser Valley Bandits,left_corner,36,31,12,0.3870967741935484
M. Klassen,Fraser Valley Bandits,left_corner,18,14,6,0.42857142857142855
J. Friesen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
S. Gibson,Fraser Valley Bandits,left_short_corner,21,21,10,0.47619047619047616
L. Kendall,Fraser Valley Bandits,left_short_corner,18,25,9,0.36
T. Tate,Fraser Valley Bandits,left_short_corner,14,19,7,0.3684210526315789
A. Campbell,Fraser Valley Bandits,left_wing_three,99,70,33,0.4714285714285714
M. Duvivier,Fraser Valley Bandits,left_wing_three,87,57,29,0.5087719298245614
M. Klassen,Fraser Valley Bandits,left_wing_three,63,71,21,0.29577464788732394
B. Gilbeck,Fraser Valley Bandits,restricted_area,146,111,73,0.6576576576576577
T. Kennedy,Fraser Valley Bandits,restricted_area,120,83,60,0.7228915662650602
M. Duvivier,Fraser Valley Bandits,restricted_area,108,116,54,0.46551724137931033
A. Campbell,Fraser Valley Bandits,right_corner,30,25,10,0.4
M. Duvivier,Fraser Valley Bandits,right_corner,27,20,9,0.45
T. Tate,Fraser Valley Bandits,right_corner,27,16,9,0.5625
L. Kendall,Fraser Valley Bandits,right_short_corner,28,30,14,0.4666666666666667
S. Gibson,Fraser Valley Bandits,right_short_corner,26,31,13,0.41935483870967744
T. Tate,Fraser Valley Bandits,right_short_corner,22,27,11,0.4074074074074074
A. Campbell,Fraser Valley Bandits,right_wing_three,90,76,30,0.39473684210526316
M. Klassen,Fraser Valley Bandits,right_wing_three,78,83,26,0.3132530120481928
S. Gibson,Fraser Valley Bandits,right_wing_three,72,54,24,0.4444444444444444
M. Klassen,Fraser Valley Bandits,top_key_midrange,31,35,15,0.42857142857142855
S. Gibson,Fraser Valley Bandits,top_key_midrange,28,28,14,0.5
T. Tate,Fraser Valley Bandits,top_key_midrange,28,41,14,0.34146341463414637
M. Klassen,Fraser Valley Bandits,top_key_three,72,46,24,0.5217391304347826
A. Campbell,Fraser Valley Bandits,top_key_three,48,39,16,0.41025641025641024
M. Duvivier,Fraser Valley Bandits,top_key_three,42,37,14,0.3783783783783784
A. Hill,Guelph Nighthawks,left_corner,51,36,17,0.4722222222222222
O. Famutimi,Guelph Nighthawks,left_corner,51,28,17,0.6071428571428571
T. Lall,Guelph Nighthawks,left_corner,27,13,9,0.6923076923076923
C. Barber,Guelph Nighthawks,left_short_corner,35,51,17,0.3333333333333333
O. Famutimi,Guelph Nighthawks,left_short_corner,18,25,9,0.36
A. Hill,Guelph Nighthawks,left_short_corner,14,34,7,0.20588235294117646
A. Hill,Guelph Nighthawks,left_wing_three,63,48,21,0.4375
O. Famutimi,Guelph Nighthawks,left_wing_three,57,45,19,0.4222222222222222
C. Barber,Guelph Nighthawks,left_wing_three,36,42,12,0.2857142857142857
C. Barber,Guelph Nighthawks,restricted_area,214,178,107,0.601123595505618
A. Hill,Guelph Nighthawks,restricted_area,176,152,88,0.5789473684210527
S. Miller-Moore,Guelph Nighthawks,restricted_area,128,86,64,0.7441860465116279
A. Hill,Guelph Nighthawks,right_corner,54,40,18,0.45
O. Famutimi,Guelph Nighthawks,right_corner,24,23,8,0.34782608695652173
A. Lawson,Guelph Nighthawks,right_corner,15,12,5,0.4166666666666667
C. Barber,Guelph Nighthawks,right_short_corner,38,50,19,0.38
O. Famutimi,Guelph Nighthawks,right_short_corner,32,27,16,0.5925925925925926
A. Hill,Guelph Nighthawks,right_short_corner,18,32,9,0.28125
A. Hill,Guelph Nighthawks,right_wing_three,93,82,31,0.3780487804878049
C. Barber,Guelph Nighthawks,right_wing_three,54,49,18,0.3673469387755102
O. Famutimi,Guelph Nighthawks,right_wing_three,51,40,17,0.425
C. Barber,Guelph Nighthawks,top_key_midrange,58,55,29,0.5272727272727272
A. Hill,Guelph Nighthawks,top_key_midrange,22,31,11,0.3548387096774194
O. Famutimi,Guelph Nighthawks,top_key_midrange,20,23,10,0.43478260869565216
A. Hill,Guelph Nighthawks,top_key_three,33,29,11,0.3793103448275862
M. Charvis,Guelph Nighthawks,top_key_three,24,18,8,0.4444444444444444
A. Hess,Guelph Nighthawks,top_key_three,21,10,7,0.7
D. Denzel-Dyson,Hamilton Honey Badgers,left_corner,33,26,11,0.4230769230769231
C. Vital,Hamilton Honey Badgers,left_corner,30,19,10,0.5263157894736842
J. Mukama,Hamilton Honey Badgers,left_corner,27,27,9,0.3333333333333333
J. Rocca,Hamilton Honey Badgers,left_short_corner,18,18,9,0.5
C. Agada,Hamilton Honey Badgers,left_short_corner,14,22,7,0.3181818181818182
L. Wigginton,Hamilton Honey Badgers,left_short_corner,13,13,6,0.46153846153846156
D. Denzel-Dyson,Hamilton Honey Badgers,left_wing_three,57,42,19,0.4523809523809524
C. Vital,Hamilton Honey Badgers,left_wing_three,42,41,14,0.34146341463414637
A. Johnson,Hamilton Honey Badgers,left_wing_three,33,26,11,0.4230769230769231
R. Tarrant Jr.,Hamilton Honey Badgers,restricted_area,170,127,85,0.6692913385826772
J. Tilmon,Hamilton Honey Badgers,restricted_area,116,82,58,0.7073170731707317
C. Agada,Hamilton Honey Badgers,restricted_area,108,94,54,0.574468085106383
N. Djogo,Hamilton Honey Badgers,right_corner,30,20,10,0.5
J. Mukama,Hamilton Honey Badgers,right_corner,15,16,5,0.3125
K. McEwen,Hamilton Honey Badgers,right_corner,15,8,5,0.625
X. Rathan-Mayes,Hamilton Honey Badgers,right_short_corner,20,22,10,0.45454545454545453
J. Rocca,Hamilton Honey Badgers,right_short_corner,18,19,9,0.47368421052631576
D. Denzel-Dyson,Hamilton Honey Badgers,right_short_corner,12,14,6,0.42857142857142855
K. McEwen,Hamilton Honey Badgers,right_wing_three,54,40,18,0.45
D. Denzel-Dyson,Hamilton Honey Badgers,right_wing_three,45,48,15,0.3125
J. Mukama,Hamilton Honey Badgers,right_wing_three,42,34,14,0.4117647058823529
C. Agada,Hamilton Honey Badgers,top_key_midrange,31,35,15,0.42857142857142855
