zone,player,team,total_points
left_corner,A. Hill,"Guelph Nighthawks, Montreal Alliance",117
left_corner,C. John,"Brampton Honey Badgers, Hamilton Honey Badgers, Ottawa BlackJacks, Saskatchewan Rattlers",87
left_corner,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",84
left_short_corner,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",62
left_short_corner,X. Moon,Edmonton Stingers,46
left_short_corner,N. Cayo,"Montreal Alliance, Niagara River Lions",44
left_wing_three,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",150
left_wing_three,A. Hill,"Guelph Nighthawks, Montreal Alliance",147
left_wing_three,M. Duvivier,"Calgary Surge, Fraser Valley Bandits, Vancouver Bandits",129
restricted_area,N. Ward,"Ottawa BlackJacks, Vancouver Bandits",620
restricted_area,S. Miller-Moore,"Calgary Surge, Guelph Nighthawks",494
restricted_area,B. Clarke,Edmonton Stingers,460
right_corner,A. Hill,"Guelph Nighthawks, Montreal Alliance",102
right_corner,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",81
right_corner,T. Tate,"Fraser Valley Bandits, Guelph Nighthawks, Ottawa BlackJacks",81
right_short_corner,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",72
right_short_corner,X. Moon,Edmonton Stingers,66
right_short_corner,J. Wright-Foreman,"Saskatchewan Rattlers, Winnipeg Sea Bears",60
right_wing_three,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",201
right_wing_three,A. Hill,"Guelph Nighthawks, Montreal Alliance",191
right_wing_three,T. Allen,"Saskatchewan Rattlers, Scarborough Shooting Stars, Winnipeg Sea Bears",147
top_key_midrange,C. Barber,"Guelph Nighthawks, Scarborough Shooting Stars",110
top_key_midrange,X. Moon,Edmonton Stingers,98
top_key_midrange,B. Clarke,Edmonton Stingers,67
top_key_three,J. Wright-Foreman,"Saskatchewan Rattlers, Winnipeg Sea Bears",123
top_key_three,A. Campbell,"Fraser Valley Bandits, Saskatchewan Rattlers, Vancouver Bandits, Winnipeg Sea Bears",102
top_key_three,T. Allen,"Saskatchewan Rattlers, Scarborough Shooting Stars, Winnipeg Sea Bears",93
