player,team,zone,total_points,total_attempts,made_shots,fg_percentage
C. John,Brampton Honey Badgers,left_corner,24,17,8,0.47058823529411764
Z. Waterman,Brampton Honey Badgers,left_corner,18,13,6,0.46153846153846156
D. Walker,Brampton Honey Badgers,left_corner,12,6,4,0.6666666666666666
C. John,Brampton Honey Badgers,left_short_corner,12,15,6,0.4
P. Oduro,Brampton Honey Badgers,left_short_corner,12,20,6,0.3
S. Stevenson,Brampton Honey Badgers,left_short_corner,12,24,6,0.25
Z. Waterman,Brampton Honey Badgers,left_wing_three,69,62,23,0.3709677419354839
C. Vital,Brampton Honey Badgers,left_wing_three,36,36,12,0.3333333333333333
K. McEwen,Brampton Honey Badgers,left_wing_three,36,37,12,0.32432432432432434
Z. Waterman,Brampton Honey Badgers,restricted_area,180,159,90,0.5660377358490566
P. Oduro,Brampton Honey Badgers,restricted_area,154,139,77,0.5539568345323741
S. Stevenson,Brampton Honey Badgers,restricted_area,146,128,73,0.5703125
J. Cooke,Brampton Honey Badgers,right_corner,18,12,6,0.5
C. John,Brampton Honey Badgers,right_corner,15,12,5,0.4166666666666667
C. Vital,Brampton Honey Badgers,right_corner,15,14,5,0.35714285714285715
P. Oduro,Brampton Honey Badgers,right_short_corner,24,25,12,0.48
K. McEwen,Brampton Honey Badgers,right_short_corner,16,16,8,0.5
S. Stevenson,Brampton Honey Badgers,right_short_corner,14,25,7,0.28
C. Vital,Brampton Honey Badgers,right_wing_three,81,60,27,0.45
Z. Waterman,Brampton Honey Badgers,right_wing_three,57,55,19,0.34545454545454546
S. Stevenson,Brampton Honey Badgers,right_wing_three,39,31,13,0.41935483870967744
C. Vital,Brampton Honey Badgers,top_key_midrange,20,22,10,0.45454545454545453
S. Stevenson,Brampton Honey Badgers,top_key_midrange,20,27,10,0.37037037037037035
L. Thorpe,Brampton Honey Badgers,top_key_midrange,18,26,9,0.34615384615384615
C. Vital,Brampton Honey Badgers,top_key_three,30,30,10,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_three,27,24,9,0.375
K. McEwen,Brampton Honey Badgers,top_key_three,15,22,5,0.22727272727272727
