player,team,zone,total_points,total_attempts,made_shots,fg_percentage
S. Miller-Moore,Calgary Surge,left_corner,30,36,10,0.2777777777777778
J. Lewis,Calgary Surge,left_corner,21,11,7,0.6363636363636364
M. Duvivier,Calgary Surge,left_corner,15,9,5,0.5555555555555556
S. Miller-Moore,Calgary Surge,left_short_corner,32,53,16,0.3018867924528302
A. Gilder Jr.,Calgary Surge,left_short_corner,9,9,4,0.4444444444444444
C. Davis Jr.,Calgary Surge,left_short_corner,9,12,4,0.3333333333333333
S. Smith,Calgary Surge,left_wing_three,45,52,15,0.28846153846153844
C. Davis Jr.,Calgary Surge,left_wing_three,36,33,12,0.36363636363636365
M. Kamba,Calgary Surge,left_wing_three,33,19,11,0.5789473684210527
S. Miller-Moore,Calgary Surge,restricted_area,332,274,166,0.6058394160583942
S. Shittu,Calgary Surge,restricted_area,166,144,83,0.5763888888888888
S. Smith,Calgary Surge,restricted_area,150,125,75,0.6
A. Gilder Jr.,Calgary Surge,right_corner,21,14,7,0.5
C. Davis Jr.,Calgary Surge,right_corner,21,16,7,0.4375
T. Mitchell,Calgary Surge,right_corner,18,11,6,0.5454545454545454
S. Miller-Moore,Calgary Surge,right_short_corner,44,65,22,0.3384615384615385
C. Davis Jr.,Calgary Surge,right_short_corner,24,27,12,0.4444444444444444
S. Shittu,Calgary Surge,right_short_corner,14,18,7,0.3888888888888889
C. Davis Jr.,Calgary Surge,right_wing_three,48,42,16,0.38095238095238093
M. Kamba,Calgary Surge,right_wing_three,48,31,16,0.5161290322580645
S. Smith,Calgary Surge,right_wing_three,48,43,16,0.37209302325581395
S. Miller-Moore,Calgary Surge,top_key_midrange,52,61,26,0.4262295081967213
C. Davis Jr.,Calgary Surge,top_key_midrange,26,34,13,0.38235294117647056
S. Shittu,Calgary Surge,top_key_midrange,16,25,8,0.32
S. Smith,Calgary Surge,top_key_three,63,54,21,0.3888888888888889
C. Davis Jr.,Calgary Surge,top_key_three,33,25,11,0.44
M. Duvivier,Calgary Surge,top_key_three,24,19,8,0.42105263157894735
