player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Peter-McNeilly,Edmonton Stingers,left_corner,63,56,21,0.375
X. Moon,Edmonton Stingers,left_corner,39,16,13,0.8125
M. Kamba,Edmonton Stingers,left_corner,36,39,12,0.3076923076923077
X. Moon,Edmonton Stingers,left_short_corner,44,43,22,0.5116279069767442
B. Clarke,Edmonton Stingers,left_short_corner,32,34,16,0.47058823529411764
B. Krikke,Edmonton Stingers,left_short_corner,32,27,16,0.5925925925925926
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,99,112,33,0.29464285714285715
E. Miller,Edmonton Stingers,left_wing_three,54,39,18,0.46153846153846156
M. Kamba,Edmonton Stingers,left_wing_three,51,43,17,0.3953488372093023
B. Clarke,Edmonton Stingers,restricted_area,420,329,210,0.6382978723404256
J. Baker,Edmonton Stingers,restricted_area,386,299,193,0.6454849498327759
N. Hornsby,Edmonton Stingers,restricted_area,198,160,99,0.61875
M. Kamba,Edmonton Stingers,right_corner,51,30,17,0.5666666666666667
A. Peter-McNeilly,Edmonton Stingers,right_corner,30,24,10,0.4166666666666667
A. Uguak,Edmonton Stingers,right_corner,27,18,9,0.5
X. Moon,Edmonton Stingers,right_short_corner,58,65,29,0.4461538461538462
B. Clarke,Edmonton Stingers,right_short_corner,38,50,19,0.38
N. Hornsby,Edmonton Stingers,right_short_corner,38,44,19,0.4318181818181818
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,102,111,34,0.3063063063063063
X. Moon,Edmonton Stingers,right_wing_three,69,51,23,0.45098039215686275
M. Kamba,Edmonton Stingers,right_wing_three,60,72,20,0.2777777777777778
X. Moon,Edmonton Stingers,top_key_midrange,84,74,42,0.5675675675675675
B. Clarke,Edmonton Stingers,top_key_midrange,61,73,30,0.410958904109589
M. Johnson,Edmonton Stingers,top_key_midrange,52,62,26,0.41935483870967744
A. Peter-McNeilly,Edmonton Stingers,top_key_three,78,71,26,0.36619718309859156
X. Moon,Edmonton Stingers,top_key_three,66,42,22,0.5238095238095238
B. Clarke,Edmonton Stingers,top_key_three,54,52,18,0.34615384615384615
