player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Campbell,Fraser Valley Bandits,left_corner,27,27,9,0.3333333333333333
J. Friesen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
M. Klassen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
S. Gibson,Fraser Valley Bandits,left_short_corner,19,20,9,0.45
L. Kendall,Fraser Valley Bandits,left_short_corner,18,24,9,0.375
T. Tate,Fraser Valley Bandits,left_short_corner,14,19,7,0.3684210526315789
A. Campbell,Fraser Valley Bandits,left_wing_three,90,65,30,0.46153846153846156
M. Duvivier,Fraser Valley Bandits,left_wing_three,72,50,24,0.48
M. Klassen,Fraser Valley Bandits,left_wing_three,57,63,19,0.30158730158730157
B. Gilbeck,Fraser Valley Bandits,restricted_area,124,94,62,0.6595744680851063
T. Kennedy,Fraser Valley Bandits,restricted_area,120,83,60,0.7228915662650602
A. Campbell,Fraser Valley Bandits,restricted_area,104,85,52,0.611764705882353
A. Campbell,Fraser Valley Bandits,right_corner,30,25,10,0.4
T. Tate,Fraser Valley Bandits,right_corner,27,16,9,0.5625
M. Duvivier,Fraser Valley Bandits,right_corner,24,18,8,0.4444444444444444
S. Gibson,Fraser Valley Bandits,right_short_corner,26,31,13,0.41935483870967744
L. Kendall,Fraser Valley Bandits,right_short_corner,22,26,11,0.4230769230769231
T. Tate,Fraser Valley Bandits,right_short_corner,22,27,11,0.4074074074074074
A. Campbell,Fraser Valley Bandits,right_wing_three,78,68,26,0.38235294117647056
M. Klassen,Fraser Valley Bandits,right_wing_three,72,78,24,0.3076923076923077
S. Gibson,Fraser Valley Bandits,right_wing_three,63,48,21,0.4375
S. Gibson,Fraser Valley Bandits,top_key_midrange,28,28,14,0.5
T. Tate,Fraser Valley Bandits,top_key_midrange,28,41,14,0.34146341463414637
M. Klassen,Fraser Valley Bandits,top_key_midrange,27,31,13,0.41935483870967744
M. Klassen,Fraser Valley Bandits,top_key_three,72,45,24,0.5333333333333333
A. Campbell,Fraser Valley Bandits,top_key_three,48,38,16,0.42105263157894735
M. Duvivier,Fraser Valley Bandits,top_key_three,36,33,12,0.36363636363636365
