player,team,zone,total_points,total_attempts,made_shots,fg_percentage
O. Famutimi,Guelph Nighthawks,left_corner,51,28,17,0.6071428571428571
A. Hill,Guelph Nighthawks,left_corner,48,33,16,0.48484848484848486
T. Lall,Guelph Nighthawks,left_corner,27,13,9,0.6923076923076923
C. Barber,Guelph Nighthawks,left_short_corner,31,45,15,0.3333333333333333
O. Famutimi,Guelph Nighthawks,left_short_corner,18,25,9,0.36
A. Hill,Guelph Nighthawks,left_short_corner,14,32,7,0.21875
A. Hill,Guelph Nighthawks,left_wing_three,57,45,19,0.4222222222222222
O. Famutimi,Guelph Nighthawks,left_wing_three,57,42,19,0.4523809523809524
C. Barber,Guelph Nighthawks,left_wing_three,36,40,12,0.3
C. Barber,Guelph Nighthawks,restricted_area,202,166,101,0.608433734939759
A. Hill,Guelph Nighthawks,restricted_area,170,145,85,0.5862068965517241
T. Lall,Guelph Nighthawks,restricted_area,116,88,58,0.6590909090909091
A. Hill,Guelph Nighthawks,right_corner,54,38,18,0.47368421052631576
O. Famutimi,Guelph Nighthawks,right_corner,24,22,8,0.36363636363636365
A. Lawson,Guelph Nighthawks,right_corner,15,12,5,0.4166666666666667
C. Barber,Guelph Nighthawks,right_short_corner,32,44,16,0.36363636363636365
O. Famutimi,Guelph Nighthawks,right_short_corner,32,26,16,0.6153846153846154
A. Hill,Guelph Nighthawks,right_short_corner,16,27,8,0.2962962962962963
A. Hill,Guelph Nighthawks,right_wing_three,75,72,25,0.3472222222222222
C. Barber,Guelph Nighthawks,right_wing_three,48,45,16,0.35555555555555557
O. Famutimi,Guelph Nighthawks,right_wing_three,48,39,16,0.41025641025641024
C. Barber,Guelph Nighthawks,top_key_midrange,54,48,27,0.5625
A. Hill,Guelph Nighthawks,top_key_midrange,20,23,10,0.43478260869565216
O. Famutimi,Guelph Nighthawks,top_key_midrange,20,22,10,0.45454545454545453
A. Hill,Guelph Nighthawks,top_key_three,30,28,10,0.35714285714285715
M. Charvis,Guelph Nighthawks,top_key_three,24,16,8,0.5
A. Hess,Guelph Nighthawks,top_key_three,21,10,7,0.7
