player,team,zone,total_points,total_attempts,made_shots,fg_percentage
A. Hill,Montreal Alliance,left_corner,66,55,22,0.4
I. Osborne,Montreal Alliance,left_corner,30,19,10,0.5263157894736842
N. Cayo,Montreal Alliance,left_corner,21,15,7,0.4666666666666667
N. Cayo,Montreal Alliance,left_short_corner,18,23,9,0.391304347826087
A. Hill,Montreal Alliance,left_short_corner,16,25,8,0.32
H. Laroche,Montreal Alliance,left_short_corner,16,23,8,0.34782608695652173
A. Hill,Montreal Alliance,left_wing_three,81,78,27,0.34615384615384615
K. Osse,Montreal Alliance,left_wing_three,51,37,17,0.4594594594594595
A. Louis,Montreal Alliance,left_wing_three,36,33,12,0.36363636363636365
N. Cayo,Montreal Alliance,restricted_area,304,264,152,0.5757575757575758
E. Ifejeh,Montreal Alliance,restricted_area,238,191,119,0.6230366492146597
A. Louis,Montreal Alliance,restricted_area,204,192,102,0.53125
A. Hill,Montreal Alliance,right_corner,48,49,16,0.32653061224489793
I. Osborne,Montreal Alliance,right_corner,15,15,5,0.3333333333333333
A. Mohamed,Montreal Alliance,right_corner,12,4,4,1.0
N. Cayo,Montreal Alliance,right_short_corner,32,44,16,0.36363636363636365
A. Hill,Montreal Alliance,right_short_corner,26,35,13,0.37142857142857144
T. Graham,Montreal Alliance,right_short_corner,26,24,13,0.5416666666666666
A. Hill,Montreal Alliance,right_wing_three,92,88,31,0.3522727272727273
K. Osse,Montreal Alliance,right_wing_three,39,36,13,0.3611111111111111
T. Graham,Montreal Alliance,right_wing_three,33,30,11,0.36666666666666664
H. Laroche,Montreal Alliance,top_key_midrange,32,38,16,0.42105263157894735
N. Cayo,Montreal Alliance,top_key_midrange,26,33,13,0.3939393939393939
J. Bowden,Montreal Alliance,top_key_midrange,22,25,11,0.44
A. Hill,Montreal Alliance,top_key_three,42,42,14,0.3333333333333333
T. Graham,Montreal Alliance,top_key_three,33,31,11,0.3548387096774194
A. Louis,Montreal Alliance,top_key_three,18,25,6,0.24
