player,team,zone,total_points,total_attempts,made_shots,fg_percentage
J. Kennedy,Newfoundland Growlers,left_corner,21,14,7,0.5
J. Blair,Newfoundland Growlers,left_corner,12,11,4,0.36363636363636365
S. Keith,Newfoundland Growlers,left_corner,12,7,4,0.5714285714285714
J. Blair,Newfoundland Growlers,left_short_corner,7,9,3,0.3333333333333333
B. Sampson,Newfoundland Growlers,left_short_corner,6,7,3,0.42857142857142855
J. Cadougan,Newfoundland Growlers,left_short_corner,6,7,3,0.42857142857142855
B. Sampson,Newfoundland Growlers,left_wing_three,33,28,11,0.39285714285714285
B. Francis,Newfoundland Growlers,left_wing_three,27,21,9,0.42857142857142855
T. Thomas,Newfoundland Growlers,left_wing_three,27,21,9,0.42857142857142855
S. Keith,Newfoundland Growlers,restricted_area,120,104,60,0.5769230769230769
B. Sampson,Newfoundland Growlers,restricted_area,100,76,50,0.6578947368421053
N. Brooks,Newfoundland Growlers,restricted_area,98,69,49,0.7101449275362319
B. Sampson,Newfoundland Growlers,right_corner,12,9,4,0.4444444444444444
J. Blair,Newfoundland Growlers,right_corner,9,5,3,0.6
S. Keith,Newfoundland Growlers,right_corner,9,11,3,0.2727272727272727
B. Sampson,Newfoundland Growlers,right_short_corner,24,18,12,0.6666666666666666
T. Thomas,Newfoundland Growlers,right_short_corner,18,15,9,0.6
N. Brooks,Newfoundland Growlers,right_short_corner,16,20,8,0.4
B. Francis,Newfoundland Growlers,right_wing_three,27,23,9,0.391304347826087
B. Sampson,Newfoundland Growlers,right_wing_three,27,22,9,0.4090909090909091
S. Keith,Newfoundland Growlers,right_wing_three,21,21,7,0.3333333333333333
B. Sampson,Newfoundland Growlers,top_key_midrange,12,10,6,0.6
J. Cadougan,Newfoundland Growlers,top_key_midrange,8,9,4,0.4444444444444444
J. Kennedy,Newfoundland Growlers,top_key_midrange,8,11,4,0.36363636363636365
B. Sampson,Newfoundland Growlers,top_key_three,24,22,8,0.36363636363636365
J. Blair,Newfoundland Growlers,top_key_three,21,21,7,0.3333333333333333
S. Keith,Newfoundland Growlers,top_key_three,15,11,5,0.45454545454545453
