player,team,zone,total_points,total_attempts,made_shots,fg_percentage
D. Bandoo,Saskatchewan Rattlers,left_corner,51,29,17,0.5862068965517241
C. John,Saskatchewan Rattlers,left_corner,36,16,12,0.75
N. Webster-Chan,Saskatchewan Rattlers,left_corner,33,30,11,0.36666666666666664
D. Bandoo,Saskatchewan Rattlers,left_short_corner,25,40,12,0.3
J. Wright-Foreman,Saskatchewan Rattlers,left_short_corner,23,26,11,0.4230769230769231
J. Harris,Saskatchewan Rattlers,left_short_corner,16,20,8,0.4
D. Bandoo,Saskatchewan Rattlers,left_wing_three,87,75,29,0.38666666666666666
J. Wright-Foreman,Saskatchewan Rattlers,left_wing_three,63,49,21,0.42857142857142855
M. Benlevi,Saskatchewan Rattlers,left_wing_three,60,52,20,0.38461538461538464
T. Dawson,Saskatchewan Rattlers,restricted_area,136,111,68,0.6126126126126126
A. Tsegakele,Saskatchewan Rattlers,restricted_area,126,115,63,0.5478260869565217
M. Nuga,Saskatchewan Rattlers,restricted_area,122,110,61,0.5545454545454546
D. Bandoo,Saskatchewan Rattlers,right_corner,30,19,10,0.5263157894736842
A. Campbell,Saskatchewan Rattlers,right_corner,24,12,8,0.6666666666666666
M. Benlevi,Saskatchewan Rattlers,right_corner,24,18,8,0.4444444444444444
D. Bandoo,Saskatchewan Rattlers,right_short_corner,32,46,16,0.34782608695652173
J. Wright-Foreman,Saskatchewan Rattlers,right_short_corner,28,34,14,0.4117647058823529
B. Massey,Saskatchewan Rattlers,right_short_corner,20,18,10,0.5555555555555556
D. Bandoo,Saskatchewan Rattlers,right_wing_three,99,75,33,0.44
J. Wright-Foreman,Saskatchewan Rattlers,right_wing_three,63,45,21,0.4666666666666667
S. Lindsey,Saskatchewan Rattlers,right_wing_three,63,64,21,0.328125
J. Wright-Foreman,Saskatchewan Rattlers,top_key_midrange,32,34,16,0.47058823529411764
T. Carr,Saskatchewan Rattlers,top_key_midrange,32,34,16,0.47058823529411764
B. Massey,Saskatchewan Rattlers,top_key_midrange,26,30,13,0.43333333333333335
J. Wright-Foreman,Saskatchewan Rattlers,top_key_three,63,48,21,0.4375
D. Bandoo,Saskatchewan Rattlers,top_key_three,39,38,13,0.34210526315789475
A. Campbell,Saskatchewan Rattlers,top_key_three,27,29,9,0.3103448275862069
