player,team,zone,total_points,total_attempts,made_shots,fg_percentage
I. Mike,Scarborough Shooting Stars,left_corner,39,18,13,0.7222222222222222
J. Campbell,Scarborough Shooting Stars,left_corner,30,16,10,0.625
K. Chatman,Scarborough Shooting Stars,left_corner,27,18,9,0.5
K. Chatman,Scarborough Shooting Stars,left_short_corner,28,41,14,0.34146341463414637
C. Barber,Scarborough Shooting Stars,left_short_corner,20,36,10,0.2777777777777778
I. Mike,Scarborough Shooting Stars,left_short_corner,13,18,6,0.3333333333333333
C. Barber,Scarborough Shooting Stars,left_wing_three,75,69,25,0.36231884057971014
I. Mike,Scarborough Shooting Stars,left_wing_three,51,36,17,0.4722222222222222
K. Robertson,Scarborough Shooting Stars,left_wing_three,33,25,11,0.44
K. Young,Scarborough Shooting Stars,restricted_area,258,195,129,0.6615384615384615
C. Barber,Scarborough Shooting Stars,restricted_area,200,169,100,0.591715976331361
D. Muenkat,Scarborough Shooting Stars,restricted_area,134,118,67,0.5677966101694916
I. Mike,Scarborough Shooting Stars,right_corner,27,17,9,0.5294117647058824
K. Chatman,Scarborough Shooting Stars,right_corner,21,26,7,0.2692307692307692
C. Barber,Scarborough Shooting Stars,right_corner,18,14,6,0.42857142857142855
J. Harris,Scarborough Shooting Stars,right_short_corner,34,44,17,0.38636363636363635
K. Chatman,Scarborough Shooting Stars,right_short_corner,34,46,17,0.3695652173913043
C. Barber,Scarborough Shooting Stars,right_short_corner,32,36,16,0.4444444444444444
C. Barber,Scarborough Shooting Stars,right_wing_three,69,60,23,0.38333333333333336
J. Harris,Scarborough Shooting Stars,right_wing_three,45,41,15,0.36585365853658536
D. Joseph,Scarborough Shooting Stars,right_wing_three,36,33,12,0.36363636363636365
C. Barber,Scarborough Shooting Stars,top_key_midrange,46,62,23,0.3709677419354839
K. Young,Scarborough Shooting Stars,top_key_midrange,34,35,17,0.4857142857142857
J. Harris,Scarborough Shooting Stars,top_key_midrange,30,45,15,0.3333333333333333
C. Barber,Scarborough Shooting Stars,top_key_three,51,44,17,0.38636363636363635
K. Robertson,Scarborough Shooting Stars,top_key_three,36,27,12,0.4444444444444444
J. Harris,Scarborough Shooting Stars,top_key_three,27,31,9,0.2903225806451613
