player,team,zone,total_points,total_attempts,made_shots,fg_percentage
D. Notice,Vancouver Bandits,left_corner,36,32,12,0.375
K. McEwen,Vancouver Bandits,left_corner,24,15,8,0.5333333333333333
A. Campbell,Vancouver Bandits,left_corner,15,11,5,0.45454545454545453
K. McEwen,Vancouver Bandits,left_short_corner,22,19,10,0.5263157894736842
T. Moore,Vancouver Bandits,left_short_corner,15,14,7,0.5
N. Ward,Vancouver Bandits,left_short_corner,11,12,5,0.4166666666666667
Z. Copeland,Vancouver Bandits,left_wing_three,66,54,22,0.4074074074074074
K. McEwen,Vancouver Bandits,left_wing_three,42,27,14,0.5185185185185185
T. Moore,Vancouver Bandits,left_wing_three,39,37,13,0.35135135135135137
N. Ward,Vancouver Bandits,restricted_area,444,336,222,0.6607142857142857
T. Moore,Vancouver Bandits,restricted_area,126,94,63,0.6702127659574468
G. Bezhanishvili,Vancouver Bandits,restricted_area,92,91,46,0.5054945054945055
K. McEwen,Vancouver Bandits,right_corner,21,16,7,0.4375
Z. Copeland,Vancouver Bandits,right_corner,12,11,4,0.36363636363636365
M. Duvivier,Vancouver Bandits,right_corner,9,6,3,0.5
K. McEwen,Vancouver Bandits,right_short_corner,18,25,9,0.36
M. Creek,Vancouver Bandits,right_short_corner,16,17,8,0.47058823529411764
N. Ward,Vancouver Bandits,right_short_corner,16,26,8,0.3076923076923077
Z. Copeland,Vancouver Bandits,right_wing_three,78,69,26,0.37681159420289856
D. Notice,Vancouver Bandits,right_wing_three,57,40,19,0.475
K. McEwen,Vancouver Bandits,right_wing_three,57,48,19,0.3958333333333333
N. Ward,Vancouver Bandits,top_key_midrange,24,36,12,0.3333333333333333
Z. Copeland,Vancouver Bandits,top_key_midrange,14,16,7,0.4375
M. Creek,Vancouver Bandits,top_key_midrange,12,13,6,0.46153846153846156
Z. Copeland,Vancouver Bandits,top_key_three,33,39,11,0.28205128205128205
D. Maffia,Vancouver Bandits,top_key_three,24,19,8,0.42105263157894735
J. Manigat,Vancouver Bandits,top_key_three,21,18,7,0.3888888888888889
