player,team,zone,total_points,total_attempts,made_shots,fg_percentage
S. Hildebrandt,Winnipeg Sea Bears,left_corner,27,22,9,0.4090909090909091
A. Campbell,Winnipeg Sea Bears,left_corner,15,17,5,0.29411764705882354
T. Allen,Winnipeg Sea Bears,left_corner,15,12,5,0.4166666666666667
T. Allen,Winnipeg Sea Bears,left_short_corner,26,49,13,0.2653061224489796
J. Ogungbemi-Jackson,Winnipeg Sea Bears,left_short_corner,17,13,8,0.6153846153846154
E. Anosike,Winnipeg Sea Bears,left_short_corner,12,18,6,0.3333333333333333
T. Allen,Winnipeg Sea Bears,left_wing_three,87,88,29,0.32954545454545453
J. Watson-Gayle,Winnipeg Sea Bears,left_wing_three,56,33,19,0.5757575757575758
J. Ogungbemi-Jackson,Winnipeg Sea Bears,left_wing_three,42,29,14,0.4827586206896552
T. Allen,Winnipeg Sea Bears,restricted_area,268,215,134,0.6232558139534884
C. Posthumus,Winnipeg Sea Bears,restricted_area,182,155,91,0.5870967741935483
E. Anosike,Winnipeg Sea Bears,restricted_area,162,137,81,0.5912408759124088
A. Campbell,Winnipeg Sea Bears,right_corner,18,12,6,0.5
A. Hess,Winnipeg Sea Bears,right_corner,12,12,4,0.3333333333333333
J. Ogungbemi-Jackson,Winnipeg Sea Bears,right_corner,9,5,3,0.6
J. Wright-Foreman,Winnipeg Sea Bears,right_short_corner,28,32,14,0.4375
T. Allen,Winnipeg Sea Bears,right_short_corner,26,48,13,0.2708333333333333
J. Ogungbemi-Jackson,Winnipeg Sea Bears,right_short_corner,24,25,12,0.48
T. Allen,Winnipeg Sea Bears,right_wing_three,105,99,35,0.35353535353535354
S. Hildebrandt,Winnipeg Sea Bears,right_wing_three,54,55,18,0.32727272727272727
J. Wright-Foreman,Winnipeg Sea Bears,right_wing_three,51,42,17,0.40476190476190477
J. Wright-Foreman,Winnipeg Sea Bears,top_key_midrange,28,40,14,0.35
E. Anosike,Winnipeg Sea Bears,top_key_midrange,22,31,11,0.3548387096774194
T. Allen,Winnipeg Sea Bears,top_key_midrange,22,36,11,0.3055555555555556
T. Allen,Winnipeg Sea Bears,top_key_three,72,53,24,0.4528301886792453
J. Wright-Foreman,Winnipeg Sea Bears,top_key_three,54,33,18,0.5454545454545454
J. Watson-Gayle,Winnipeg Sea Bears,top_key_three,42,28,14,0.5
