player,team,zone,total_points,total_attempts,made_shots,fg_percentage
C. John,Brampton Honey Badgers,left_corner,24,17,8,0.47058823529411764
Z. Waterman,Brampton Honey Badgers,left_corner,18,13,6,0.46153846153846156
D. Walker,Brampton Honey Badgers,left_corner,12,6,4,0.6666666666666666
C. John,Brampton Honey Badgers,left_short_corner,12,15,6,0.4
P. Oduro,Brampton Honey Badgers,left_short_corner,12,20,6,0.3
S. Stevenson,Brampton Honey Badgers,left_short_corner,12,24,6,0.25
Z. Waterman,Brampton Honey Badgers,left_wing_three,69,62,23,0.3709677419354839
C. Vital,Brampton Honey Badgers,left_wing_three,36,36,12,0.3333333333333333
K. McEwen,Brampton Honey Badgers,left_wing_three,36,37,12,0.32432432432432434
Z. Waterman,Brampton Honey Badgers,restricted_area,180,159,90,0.5660377358490566
P. Oduro,Brampton Honey Badgers,restricted_area,154,139,77,0.5539568345323741
S. Stevenson,Brampton Honey Badgers,restricted_area,146,128,73,0.5703125
J. Cooke,Brampton Honey Badgers,right_corner,18,12,6,0.5
C. John,Brampton Honey Badgers,right_corner,15,12,5,0.4166666666666667
C. Vital,Brampton Honey Badgers,right_corner,15,14,5,0.35714285714285715
P. Oduro,Brampton Honey Badgers,right_short_corner,24,25,12,0.48
K. McEwen,Brampton Honey Badgers,right_short_corner,16,16,8,0.5
S. Stevenson,Brampton Honey Badgers,right_short_corner,14,25,7,0.28
C. Vital,Brampton Honey Badgers,right_wing_three,81,60,27,0.45
Z. Waterman,Brampton Honey Badgers,right_wing_three,57,55,19,0.34545454545454546
S. Stevenson,Brampton Honey Badgers,right_wing_three,39,31,13,0.41935483870967744
C. Vital,Brampton Honey Badgers,top_key_midrange,20,22,10,0.45454545454545453
S. Stevenson,Brampton Honey Badgers,top_key_midrange,20,27,10,0.37037037037037035
L. Thorpe,Brampton Honey Badgers,top_key_midrange,18,26,9,0.34615384615384615
C. Vital,Brampton Honey Badgers,top_key_three,30,30,10,0.3333333333333333
Z. Waterman,Brampton Honey Badgers,top_key_three,27,24,9,0.375
K. McEwen,Brampton Honey Badgers,top_key_three,15,22,5,0.22727272727272727
S. Miller-Moore,Calgary Surge,left_corner,30,36,10,0.2777777777777778
J. Lewis,Calgary Surge,left_corner,21,11,7,0.6363636363636364
M. Duvivier,Calgary Surge,left_corner,15,9,5,0.5555555555555556
S. Miller-Moore,Calgary Surge,left_short_corner,32,53,16,0.3018867924528302
A. Gilder Jr.,Calgary Surge,left_short_corner,9,9,4,0.4444444444444444
C. Davis Jr.,Calgary Surge,left_short_corner,9,12,4,0.3333333333333333
S. Smith,Calgary Surge,left_wing_three,45,52,15,0.28846153846153844
C. Davis Jr.,Calgary Surge,left_wing_three,36,33,12,0.36363636363636365
M. Kamba,Calgary Surge,left_wing_three,33,19,11,0.5789473684210527
S. Miller-Moore,Calgary Surge,restricted_area,332,274,166,0.6058394160583942
S. Shittu,Calgary Surge,restricted_area,166,144,83,0.5763888888888888
S. Smith,Calgary Surge,restricted_area,150,125,75,0.6
A. Gilder Jr.,Calgary Surge,right_corner,21,14,7,0.5
C. Davis Jr.,Calgary Surge,right_corner,21,16,7,0.4375
T. Mitchell,Calgary Surge,right_corner,18,11,6,0.5454545454545454
S. Miller-Moore,Calgary Surge,right_short_corner,44,65,22,0.3384615384615385
C. Davis Jr.,Calgary Surge,right_short_corner,24,27,12,0.4444444444444444
S. Shittu,Calgary Surge,right_short_corner,14,18,7,0.3888888888888889
C. Davis Jr.,Calgary Surge,right_wing_three,48,42,16,0.38095238095238093
M. Kamba,Calgary Surge,right_wing_three,48,31,16,0.5161290322580645
S. Smith,Calgary Surge,right_wing_three,48,43,16,0.37209302325581395
S. Miller-Moore,Calgary Surge,top_key_midrange,52,61,26,0.4262295081967213
C. Davis Jr.,Calgary Surge,top_key_midrange,26,34,13,0.38235294117647056
S. Shittu,Calgary Surge,top_key_midrange,16,25,8,0.32
S. Smith,Calgary Surge,top_key_three,63,54,21,0.3888888888888889
C. Davis Jr.,Calgary Surge,top_key_three,33,25,11,0.44
M. Duvivier,Calgary Surge,top_key_three,24,19,8,0.42105263157894735
A. Peter-McNeilly,Edmonton Stingers,left_corner,63,56,21,0.375
X. Moon,Edmonton Stingers,left_corner,39,16,13,0.8125
M. Kamba,Edmonton Stingers,left_corner,36,39,12,0.3076923076923077
X. Moon,Edmonton Stingers,left_short_corner,44,43,22,0.5116279069767442
B. Clarke,Edmonton Stingers,left_short_corner,32,34,16,0.47058823529411764
B. Krikke,Edmonton Stingers,left_short_corner,32,27,16,0.5925925925925926
A. Peter-McNeilly,Edmonton Stingers,left_wing_three,99,112,33,0.29464285714285715
E. Miller,Edmonton Stingers,left_wing_three,54,39,18,0.46153846153846156
M. Kamba,Edmonton Stingers,left_wing_three,51,43,17,0.3953488372093023
B. Clarke,Edmonton Stingers,restricted_area,420,329,210,0.6382978723404256
J. Baker,Edmonton Stingers,restricted_area,386,299,193,0.6454849498327759
N. Hornsby,Edmonton Stingers,restricted_area,198,160,99,0.61875
M. Kamba,Edmonton Stingers,right_corner,51,30,17,0.5666666666666667
A. Peter-McNeilly,Edmonton Stingers,right_corner,30,24,10,0.4166666666666667
A. Uguak,Edmonton Stingers,right_corner,27,18,9,0.5
X. Moon,Edmonton Stingers,right_short_corner,58,65,29,0.4461538461538462
B. Clarke,Edmonton Stingers,right_short_corner,38,50,19,0.38
N. Hornsby,Edmonton Stingers,right_short_corner,38,44,19,0.4318181818181818
A. Peter-McNeilly,Edmonton Stingers,right_wing_three,102,111,34,0.3063063063063063
X. Moon,Edmonton Stingers,right_wing_three,69,51,23,0.45098039215686275
M. Kamba,Edmonton Stingers,right_wing_three,60,72,20,0.2777777777777778
X. Moon,Edmonton Stingers,top_key_midrange,84,74,42,0.5675675675675675
B. Clarke,Edmonton Stingers,top_key_midrange,61,73,30,0.410958904109589
M. Johnson,Edmonton Stingers,top_key_midrange,52,62,26,0.41935483870967744
A. Peter-McNeilly,Edmonton Stingers,top_key_three,78,71,26,0.36619718309859156
X. Moon,Edmonton Stingers,top_key_three,66,42,22,0.5238095238095238
B. Clarke,Edmonton Stingers,top_key_three,54,52,18,0.34615384615384615
A. Campbell,Fraser Valley Bandits,left_corner,27,27,9,0.3333333333333333
J. Friesen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
M. Klassen,Fraser Valley Bandits,left_corner,15,12,5,0.4166666666666667
S. Gibson,Fraser Valley Bandits,left_short_corner,19,20,9,0.45
L. Kendall,Fraser Valley Bandits,left_short_corner,18,24,9,0.375
T. Tate,Fraser Valley Bandits,left_short_corner,14,19,7,0.3684210526315789
A. Campbell,Fraser Valley Bandits,left_wing_three,90,65,30,0.46153846153846156
M. Duvivier,Fraser Valley Bandits,left_wing_three,72,50,24,0.48
M. Klassen,Fraser Valley Bandits,left_wing_three,57,63,19,0.30158730158730157
B. Gilbeck,Fraser Valley Bandits,restricted_area,124,94,62,0.6595744680851063
T. Kennedy,Fraser Valley Bandits,restricted_area,120,83,60,0.7228915662650602
A. Campbell,Fraser Valley Bandits,restricted_area,104,85,52,0.611764705882353
A. Campbell,Fraser Valley Bandits,right_corner,30,25,10,0.4
T. Tate,Fraser Valley Bandits,right_corner,27,16,9,0.5625
M. Duvivier,Fraser Valley Bandits,right_corner,24,18,8,0.4444444444444444
S. Gibson,Fraser Valley Bandits,right_short_corner,26,31,13,0.41935483870967744
L. Kendall,Fraser Valley Bandits,right_short_corner,22,26,11,0.4230769230769231
T. Tate,Fraser Valley Bandits,right_short_corner,22,27,11,0.4074074074074074
A. Campbell,Fraser Valley Bandits,right_wing_three,78,68,26,0.38235294117647056
M. Klassen,Fraser Valley Bandits,right_wing_three,72,78,24,0.3076923076923077
S. Gibson,Fraser Valley Bandits,right_wing_three,63,48,21,0.4375
S. Gibson,Fraser Valley Bandits,top_key_midrange,28,28,14,0.5
T. Tate,Fraser Valley Bandits,top_key_midrange,28,41,14,0.34146341463414637
M. Klassen,Fraser Valley Bandits,top_key_midrange,27,31,13,0.41935483870967744
M. Klassen,Fraser Valley Bandits,top_key_three,72,45,24,0.5333333333333333
A. Campbell,Fraser Valley Bandits,top_key_three,48,38,16,0.42105263157894735
M. Duvivier,Fraser Valley Bandits,top_key_three,36,33,12,0.36363636363636365
O. Famutimi,Guelph Nighthawks,left_corner,51,28,17,0.6071428571428571
A. Hill,Guelph Nighthawks,left_corner,48,33,16,0.48484848484848486
T. Lall,Guelph Nighthawks,left_corner,27,13,9,0.6923076923076923
C. Barber,Guelph Nighthawks,left_short_corner,31,45,15,0.3333333333333333
O. Famutimi,Guelph Nighthawks,left_short_corner,18,25,9,0.36
A. Hill,Guelph Nighthawks,left_short_corner,14,32,7,0.21875
A. Hill,Guelph Nighthawks,left_wing_three,57,45,19,0.4222222222222222
O. Famutimi,Guelph Nighthawks,left_wing_three,57,42,19,0.4523809523809524
C. Barber,Guelph Nighthawks,left_wing_three,36,40,12,0.3
C. Barber,Guelph Nighthawks,restricted_area,202,166,101,0.608433734939759
A. Hill,Guelph Nighthawks,restricted_area,170,145,85,0.5862068965517241
T. Lall,Guelph Nighthawks,restricted_area,116,88,58,0.6590909090909091
A. Hill,Guelph Nighthawks,right_corner,54,38,18,0.47368421052631576
O. Famutimi,Guelph Nighthawks,right_corner,24,22,8,0.36363636363636365
A. Lawson,Guelph Nighthawks,right_corner,15,12,5,0.4166666666666667
C. Barber,Guelph Nighthawks,right_short_corner,32,44,16,0.36363636363636365
O. Famutimi,Guelph Nighthawks,right_short_corner,32,26,16,0.6153846153846154
A. Hill,Guelph Nighthawks,right_short_corner,16,27,8,0.2962962962962963
A. Hill,Guelph Nighthawks,right_wing_three,75,72,25,0.3472222222222222
C. Barber,Guelph Nighthawks,right_wing_three,48,45,16,0.35555555555555557
O. Famutimi,Guelph Nighthawks,right_wing_three,48,39,16,0.41025641025641024
C. Barber,Guelph Nighthawks,top_key_midrange,54,48,27,0.5625
A. Hill,Guelph Nighthawks,top_key_midrange,20,23,10,0.43478260869565216
O. Famutimi,Guelph Nighthawks,top_key_midrange,20,22,10,0.45454545454545453
A. Hill,Guelph Nighthawks,top_key_three,30,28,10,0.35714285714285715
M. Charvis,Guelph Nighthawks,top_key_three,24,16,8,0.5
A. Hess,Guelph Nighthawks,top_key_three,21,10,7,0.7
D. Denzel-Dyson,Hamilton Honey Badgers,left_corner,30,25,10,0.4
C. Vital,Hamilton Honey Badgers,left_corner,27,18,9,0.5
K. McEwen,Hamilton Honey Badgers,left_corner,27,19,9,0.47368421052631576
J. Rocca,Hamilton Honey Badgers,left_short_corner,18,17,9,0.5294117647058824
C. Agada,Hamilton Honey Badgers,left_short_corner,14,21,7,0.3333333333333333
D. Denzel-Dyson,Hamilton Honey Badgers,left_short_corner,10,15,5,0.3333333333333333
D. Denzel-Dyson,Hamilton Honey Badgers,left_wing_three,51,37,17,0.4594594594594595
C. Vital,Hamilton Honey Badgers,left_wing_three,42,38,14,0.3684210526315789
C. Agada,Hamilton Honey Badgers,left_wing_three,30,25,10,0.4
R. Tarrant Jr.,Hamilton Honey Badgers,restricted_area,154,111,77,0.6936936936936937
D. Denzel-Dyson,Hamilton Honey Badgers,restricted_area,100,91,50,0.5494505494505495
C. Agada,Hamilton Honey Badgers,restricted_area,98,83,49,0.5903614457831325
N. Djogo,Hamilton Honey Badgers,right_corner,30,20,10,0.5
J. Mukama,Hamilton Honey Badgers,right_corner,15,15,5,0.3333333333333333
C. Vital,Hamilton Honey Badgers,right_corner,12,10,4,0.4
J. Rocca,Hamilton Honey Badgers,right_short_corner,18,19,9,0.47368421052631576
X. Rathan-Mayes,Hamilton Honey Badgers,right_short_corner,14,15,7,0.4666666666666667
D. Denzel-Dyson,Hamilton Honey Badgers,right_short_corner,12,14,6,0.42857142857142855
K. McEwen,Hamilton Honey Badgers,right_wing_three,45,36,15,0.4166666666666667
D. Denzel-Dyson,Hamilton Honey Badgers,right_wing_three,42,43,14,0.32558139534883723
R. Tarrant Jr.,Hamilton Honey Badgers,right_wing_three,33,33,11,0.3333333333333333
C. Agada,Hamilton Honey Badgers,top_key_midrange,25,30,12,0.4
L. Wigginton,Hamilton Honey Badgers,top_key_midrange,18,20,9,0.45
